Behavior,Potential_Strategies,Score_Variation,Score_Variation__Text_,Segment_1
Completed a recent purchase- but didn’t spend a lot.,Create brand awareness. Offer discounts,514,514',05- Promising
Completed a recent purchase- but didn’t spend a lot.,Create brand awareness. Offer discounts,515,515',05- Promising
Completed a recent purchase- but didn’t spend a lot.,Create brand awareness. Offer discounts,521,521',05- Promising
Completed a recent purchase- but didn’t spend a lot.,Create brand awareness. Offer discounts,522,522',05- Promising
Completed a recent purchase- but didn’t spend a lot.,Create brand awareness. Offer discounts,523,523',05- Promising
Completed a recent purchase- but didn’t spend a lot.,Create brand awareness. Offer discounts,524,524',05- Promising
Completed a recent purchase- but didn’t spend a lot.,Create brand awareness. Offer discounts- gifts,525,525',05- Promising
Completed a recent purchase- but doesn’t order often.,Support them on their onboarding process. Get their satisfaction. Start to build loyalty.,311,311',04- New Customer
Completed a recent purchase- but doesn’t order often.,Support them on their onboarding process. Get their satisfaction. Start to build loyalty.,411,411',04- New Customer
Completed a recent purchase- but doesn’t order often.,Support them on their onboarding process. Get their satisfaction. Start to build loyalty.,412,412',04- New Customer
Completed a recent purchase- but doesn’t order often.,Support them on their onboarding process. Get their satisfaction. Start to build loyalty.,421,421',04- New Customer
Completed a recent purchase- but doesn’t order often.,Support them on their onboarding process. Get their satisfaction. Start to build loyalty.,422,422',04- New Customer
Completed a recent purchase- but doesn’t order often.,Support them on their onboarding process. Get their satisfaction. Start to build loyalty.,511,511',04- New Customer
Completed a recent purchase- but doesn’t order often.,Support them on their onboarding process. Get their satisfaction. Start to build loyalty.,512,512',04- New Customer
Completed a recent purchase. They buy frequently and spend the most.,Reward them. Can be early adopters of new products. They act as brand ambassadors.,445,445',01- Champion
Completed a recent purchase. They buy frequently and spend the most.,Reward them. Can be early adopters of new products. They act as brand ambassadors.,454,454',01- Champion
Completed a recent purchase. They buy frequently and spend the most.,Reward them. Can be early adopters of new products. They act as brand ambassadors.,455,455',01- Champion
Completed a recent purchase. They buy frequently and spend the most.,Reward them. Can be early adopters of new products. They act as brand ambassadors.,544,544',01- Champion
Completed a recent purchase. They buy frequently and spend the most.,Reward them. Can be early adopters of new products. They act as brand ambassadors.,545,545',01- Champion
Completed a recent purchase. They buy frequently and spend the most.,Reward them. Can be early adopters of new products. They act as brand ambassadors.,554,554',01- Champion
Completed a recent purchase. They buy frequently and spend the most.,Reward them. Can be early adopters of new products. They act as brand ambassadors.,555,555',01- Champion
Completed big- frequent purchases long ago. You need to bring them back!,Send personalized emails to reconnect with special offers. Share useful resources with them.,124,124',09- At Risk
Completed big- frequent purchases long ago. You need to bring them back!,Send personalized emails to reconnect with special offers. Share useful resources with them.,125,125',09- At Risk
Completed big- frequent purchases long ago. You need to bring them back!,Send personalized emails to reconnect with special offers. Share useful resources with them.,133,133',09- At Risk
Completed big- frequent purchases long ago. You need to bring them back!,Send personalized emails to reconnect with special offers. Share useful resources with them.,134,134',09- At Risk
Completed big- frequent purchases long ago. You need to bring them back!,Send personalized emails to reconnect with special offers. Share useful resources with them.,135,135',09- At Risk
Completed big- frequent purchases long ago. You need to bring them back!,Send personalized emails to reconnect with special offers. Share useful resources with them.,142,142',09- At Risk
Completed big- frequent purchases long ago. You need to bring them back!,Send personalized emails to reconnect with special offers. Share useful resources with them.,143,143',09- At Risk
Completed big- frequent purchases long ago. You need to bring them back!,Send personalized emails to reconnect with special offers. Share useful resources with them.,145,145',09- At Risk
Completed big- frequent purchases long ago. You need to bring them back!,Send personalized emails to reconnect with special offers. Share useful resources with them.,152,152',09- At Risk
Completed big- frequent purchases long ago. You need to bring them back!,Send personalized emails to reconnect with special offers. Share useful resources with them.,153,153',09- At Risk
Completed big- frequent purchases long ago. You need to bring them back!,Send personalized emails to reconnect with special offers. Share useful resources with them.,224,224',09- At Risk
Completed big- frequent purchases long ago. You need to bring them back!,Send personalized emails to reconnect with special offers. Share useful resources with them.,225,225',09- At Risk
Completed big- frequent purchases long ago. You need to bring them back!,Send personalized emails to reconnect with special offers. Share useful resources with them.,234,234',09- At Risk
Completed big- frequent purchases long ago. You need to bring them back!,Send personalized emails to reconnect with special offers. Share useful resources with them.,235,235',09- At Risk
Completed big- frequent purchases long ago. You need to bring them back!,Send personalized emails to reconnect with special offers. Share useful resources with them.,242,242',09- At Risk
Completed big- frequent purchases long ago. You need to bring them back!,Send personalized emails to reconnect with special offers. Share useful resources with them.,243,243',09- At Risk
Completed big- frequent purchases long ago. You need to bring them back!,Send personalized emails to reconnect with special offers. Share useful resources with them.,244,244',09- At Risk
Completed big- frequent purchases long ago. You need to bring them back!,Send personalized emails to reconnect with special offers. Share useful resources with them.,245,245',09- At Risk
Completed big- frequent purchases long ago. You need to bring them back!,Send personalized emails to reconnect with special offers. Share useful resources with them.,252,252',09- At Risk
Completed big- frequent purchases long ago. You need to bring them back!,Send personalized emails to reconnect with special offers. Share useful resources with them.,253,253',09- At Risk
Completed big- frequent purchases long ago. You need to bring them back!,Send personalized emails to reconnect with special offers. Share useful resources with them.,254,254',09- At Risk
Completed big- frequent purchases long ago. You need to bring them back!,Send personalized emails to reconnect with special offers. Share useful resources with them.,255,255',09- At Risk
Completed huge- frequent purchases long ago but haven’t come back since then.,Get them back with new product launches. Don’t let competitors take them. Talk to them.,113,113',07- Cannot Lose Them
Completed huge- frequent purchases long ago but haven’t come back since then.,Get them back with new product launches. Don’t let competitors take them. Talk to them.,114,114',07- Cannot Lose Them
Completed huge- frequent purchases long ago but haven’t come back since then.,Get them back with new product launches. Don’t let competitors take them. Talk to them.,115,115',07- Cannot Lose Them
Completed huge- frequent purchases long ago but haven’t come back since then.,Get them back with new product launches. Don’t let competitors take them. Talk to them.,144,144',07- Cannot Lose Them
Completed huge- frequent purchases long ago but haven’t come back since then.,Get them back with new product launches. Don’t let competitors take them. Talk to them.,154,154',07- Cannot Lose Them
Completed huge- frequent purchases long ago but haven’t come back since then.,Get them back with new product launches. Don’t let competitors take them. Talk to them.,155,155',07- Cannot Lose Them
Completed huge- frequent purchases long ago but haven’t come back since then.,Get them back with new product launches. Don’t let competitors take them. Talk to them.,214,214',07- Cannot Lose Them
Completed huge- frequent purchases long ago but haven’t come back since then.,Get them back with new product launches. Don’t let competitors take them. Talk to them.,215,215',07- Cannot Lose Them
Lowest scores in recency- frequency and monetary value.,Try to reactivate them with personalized campaigns. If it doesn’t work,111,111',11- Lost
Lowest scores in recency- frequency and monetary value.,Try to reactivate them with personalized campaigns. If it doesn’t work,112,112',11- Lost
Lowest scores in recency- frequency and monetary value.,Try to reactivate them with personalized campaigns. If it doesn’t work,121,121',11- Lost
Lowest scores in recency- frequency and monetary value.,Try to reactivate them with personalized campaigns. If it doesn’t work,131,131',11- Lost
Lowest scores in recency- frequency and monetary value.,Try to reactivate them with personalized campaigns. If it doesn’t work,141,141',11- Lost
Lowest scores in recency- frequency and monetary value.,Try to reactivate them with personalized campaigns. If it doesn’t work,151,151',11- Lost
Their last purchase was long ago. The number of orders was small and the amounts spent low.,Offer relevant products and special discounts. Create brand value again.,122,122',10- Hibernating
Their last purchase was long ago. The number of orders was small and the amounts spent low.,Offer relevant products and special discounts. Create brand value again.,123,123',10- Hibernating
Their last purchase was long ago. The number of orders was small and the amounts spent low.,Offer relevant products and special discounts. Create brand value again.,132,132',10- Hibernating
Their last purchase was long ago. The number of orders was small and the amounts spent low.,Offer relevant products and special discounts. Create brand value again.,211,211',10- Hibernating
Their last purchase was long ago. The number of orders was small and the amounts spent low.,Offer relevant products and special discounts. Create brand value again.,212,212',10- Hibernating
Their last purchase was long ago. The number of orders was small and the amounts spent low.,Offer relevant products and special discounts. Create brand value again.,222,222',10- Hibernating
Their last purchase was long ago. The number of orders was small and the amounts spent low.,Offer relevant products and special discounts. Create brand value again.,223,223',10- Hibernating
Their last purchase was long ago. The number of orders was small and the amounts spent low.,Offer relevant products and special discounts. Create brand value again.,231,231',10- Hibernating
Their last purchase was long ago. The number of orders was small and the amounts spent low.,Offer relevant products and special discounts. Create brand value again.,232,232',10- Hibernating
Their last purchase was long ago. The number of orders was small and the amounts spent low.,Offer relevant products and special discounts. Create brand value again.,233,233',10- Hibernating
Their last purchase was long ago. The number of orders was small and the amounts spent low.,Offer relevant products and special discounts. Create brand value again.,241,241',10- Hibernating
Their last purchase was long ago. The number of orders was small and the amounts spent low.,Offer relevant products and special discounts. Create brand value again.,251,251',10- Hibernating
Their last purchase was long ago. The number of orders was small and the amounts spent low.,Offer relevant products and special discounts. Create brand value again.,322,322',10- Hibernating
Their last purchase was long ago. The number of orders was small and the amounts spent low.,Offer relevant products and special discounts. Create brand value again.,332,332',10- Hibernating
They buy frequently and spend a lot of money on the site. Sensitive to offers.,Upsell. Offer high-value items to them. Ask them for reviews. Build loyalty,335,335',02- Loyal Customer
They buy frequently and spend a lot of money on the site. Sensitive to offers.,Upsell. Offer high-value items to them. Ask them for reviews. Build loyalty,344,344',02- Loyal Customer
They buy frequently and spend a lot of money on the site. Sensitive to offers.,Upsell. Offer high-value items to them. Ask them for reviews. Build loyalty,345,345',02- Loyal Customer
They buy frequently and spend a lot of money on the site. Sensitive to offers.,Upsell. Offer high-value items to them. Ask them for reviews. Build loyalty,354,354',02- Loyal Customer
They buy frequently and spend a lot of money on the site. Sensitive to offers.,Upsell. Offer high-value items to them. Ask them for reviews. Build loyalty,355,355',02- Loyal Customer
They buy frequently and spend a lot of money on the site. Sensitive to offers.,Upsell. Offer high-value items to them. Ask them for reviews. Build loyalty,435,435',02- Loyal Customer
They buy frequently and spend a lot of money on the site. Sensitive to offers.,Upsell. Offer high-value items to them. Ask them for reviews. Build loyalty,444,444',02- Loyal Customer
They buy frequently and spend a lot of money on the site. Sensitive to offers.,Upsell. Offer high-value items to them. Ask them for reviews. Build loyalty,543,543',02- Loyal Customer
They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.,323,323',03- Potential Loyalist
They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.,333,333',03- Potential Loyalist
They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.,341,341',03- Potential Loyalist
They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.,342,342',03- Potential Loyalist
They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.,351,351',03- Potential Loyalist
They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.,352,352',03- Potential Loyalist
They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.,353,353',03- Potential Loyalist
They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.,423,423',03- Potential Loyalist
They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.,431,431',03- Potential Loyalist
They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.,432,432',03- Potential Loyalist
They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.,433,433',03- Potential Loyalist
They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.,441,441',03- Potential Loyalist
They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.,442,442',03- Potential Loyalist
They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.,451,451',03- Potential Loyalist
They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.,452,452',03- Potential Loyalist
They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.,453,453',03- Potential Loyalist
They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.,531,531',03- Potential Loyalist
They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.,532,532',03- Potential Loyalist
They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.,533,533',03- Potential Loyalist
They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.,541,541',03- Potential Loyalist
They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.,542,542',03- Potential Loyalist
They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.,551,551',03- Potential Loyalist
They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.,552,552',03- Potential Loyalist
They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.,553,553',03- Potential Loyalist
